4People|HTML Team Lead|Полный рабочий день, Можно удаленно|HTML-верстальщик, Ведущий (Lead), HTML, Gulp, React, SCSS|2022-11-28T17:18:36+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114766
4People|Системный аналитик|Санкт-Петербург|Системный аналитик, Старший (Senior), REST, SQL, SOAP, RabbitMQ|2022-11-28T17:19:28+03:00|['200000', '280000', '₽']|https://career.habr.com/vacancies/1000114838
4People|C# Backend Developer|Лимассол, Полный рабочий день|Десктоп разработчик, Средний (Middle), C#, Windows Forms, WPF|2022-11-28T17:22:49+03:00|['2500', 'null', '€']|https://career.habr.com/vacancies/1000114839
beeline|DevOps Engineer|Москва, Полный рабочий день, Можно удаленно|Девопс инженер, Средний (Middle), Linux, Kubernetes, Python, Docker|2022-11-28T17:23:42+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000113644
Aston (ex. Andersen)|System Analyst|Полный рабочий день, Можно удаленно|Системный аналитик, Средний (Middle), Системная аналитика, Системный анализ, Camunda|2022-11-28T17:24:23+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114531
Почта Банк|Главный эксперт мониторинга|Полный рабочий день, Можно удаленно|Системный администратор, Средний (Middle), Zabbix|2022-11-28T17:25:37+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000112119
Ростелеком|Руководитель группы|Пенза, Полный рабочий день|Менеджер по обеспечению качества, Управление людьми|2022-11-28T17:27:09+03:00|['50000', 'null', '₽']|https://career.habr.com/vacancies/1000102075
Ростелеком|Инженер-энергетик|Великие Луки, Полный рабочий день|Администратор сетей, HTML|2022-11-28T17:27:13+03:00|['35000', 'null', '₽']|https://career.habr.com/vacancies/1000102076
beeline|Java-разработчик (Lead/Senior)|Можно удаленно|Бэкенд разработчик, Ведущий (Lead), Java, Java Spring Framework, Java core, SQL, NoSQL, Git, SOAP, Apache Maven, REST, SOLID|2022-11-21T17:27:23+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000113767
Ростелеком|Инженер направления систем мониторинга|Полный рабочий день, Можно удаленно|Бэкенд разработчик, Средний (Middle), Git, Linux, Python, Django, MySQL, PostgreSQL, JavaScript, ООП|2022-11-28T17:27:56+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000104736
Т1 Консалтинг|Ведущий аналитик 1С (ERP, УХ)|Нижний Новгород, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:27:35+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109349
Т1 Консалтинг|Ведущий аналитик 1С (ERP, УХ)|Москва, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:27:35+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109350
Т1 Консалтинг|Ведущий аналитик 1С (ERP, УХ)|Санкт-Петербург, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:27:36+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109351
Т1 Консалтинг|Ведущий аналитик 1С (ERP, УХ)|Казань, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:27:37+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109352
ЛАНИТ|Ведущий инженер Linux|Москва, Полный рабочий день, Можно удаленно|Системный администратор, Средний (Middle), Linux|2022-11-28T17:27:59+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109353
SberTech|DevSecOps|Москва, Полный рабочий день|Пентестер, Средний (Middle), SAST/DAST, DevSecOps|2022-11-28T17:28:00+03:00|['180000', '250000', '₽']|https://career.habr.com/vacancies/1000110988
SberDevices|QA Team Lead (Цифровые поверхности Салют SberDevices)|Москва, Полный рабочий день|Инженер по ручному тестированию, Средний (Middle), Управление людьми|2022-11-28T17:30:29+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114532
РТЛабс|DevOps Инженер|Можно удаленно|Девопс инженер, Средний (Middle), Python, Docker, PostgreSQL, Linux, Kubernetes, CI/CD|2022-11-28T17:31:00+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000100721
Bell Integrator|Специалист технической поддержки (2-3 линия)|Москва, Полный рабочий день|Инженер технической поддержки, Старший (Senior), SQL, XML, Linux|2022-11-28T17:31:44+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114478
ТПУ (НИ)|Преподаватель на онлайн курс веб-верстки на JavaScript|Неполный рабочий день, Можно удаленно|Фронтенд разработчик, Средний (Middle), JavaScript, HTML|2022-11-28T17:34:06+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114840
